id,title,first_artist,all_artists,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,num_bars,num_sections,num_segments
34y1d4i8uru6aQSWd8ewPT,Tumse Milne Ko Dil,Alka Yagnik,"['Alka Yagnik', 'Kumar Sanu']",0.529,0.812,1,-9.238,0,0.768,1.93E-06,0.311,0.768,138.841,300400,3,226,11,1114
75dleHEqphd8sK9vCiYuZB,Chocolate Lime Juice,Lata Mangeshkar,['Lata Mangeshkar'],0.701,0.626,4,-14.658,1,0.478,0.000413,0.258,0.848,126.016,267533,4,138,12,1074
3VKlfDnmnTVQUliUCIy6rP,Koi Na Koi Chahiye,Vinod Rathod,['Vinod Rathod'],0.655,0.729,11,-11.116,0,0.21,7.36E-06,0.268,0.889,124.381,383376,4,197,15,1564
6qYtje83gTeREXYdrgXVmj,Humko Tumse Pyar Hai,Abhijeet,['Abhijeet'],0.85,0.765,2,-6.487,1,0.0503,0.000268,0.837,0.73,124.891,308067,4,158,12,1204
1qyib2Wb5YTbNzZi7QMhEY,Ae Kash Ke Hum,Jatin-Lalit,"['Jatin-Lalit', 'Kumar Sanu']",0.364,0.687,0,-7.967,1,0.656,0,0.175,0.663,161.008,310427,3,270,15,1248
2fsPrE2NYiHOHPMuWbjvTj,Ramta Jogi,Sukhwinder Singh,"['Sukhwinder Singh', 'Alka Yagnik']",0.798,0.636,6,-10.52,1,0.327,0,0.128,0.799,139.98,377000,4,217,22,1514
4DjcBr310LtxxR6wq4sJRv,Mujhe Neend Na Aaye,Anuradha Paudwal,"['Anuradha Paudwal', 'Udit Narayan']",0.489,0.669,11,-10.788,0,0.819,0.0206,0.281,0.713,149.928,373573,4,230,21,1412
3E7aYbAl6WSQ2xsSvMRaUK,Subah Se Lekar (With Jhankar Beats),Udit Narayan,"['Udit Narayan', 'Sadhana Sargam']",0.743,0.955,11,-10.566,0,0.165,0.000156,0.0451,0.937,122.223,355133,4,179,12,1458
106VQOgiNwarz03Aegj7Yz,Chhupana Bhi Nahin Aata,Pankaj Udhas,['Pankaj Udhas'],0.394,0.517,3,-11.817,1,0.362,2.26E-06,0.129,0.646,157.333,322067,3,280,16,1299
5mhuZ0inchJ2JimeGZInfB,Aankhon Ki Gustakhiyan,Kumar Sanu,"['Kumar Sanu', 'Kavita Krishnamurthy']",0.557,0.511,1,-9.297,0,0.525,5.78E-05,0.137,0.543,178.11,303173,3,295,16,1201
1wWyVxdBlBU25RBRaYeHUB,Chal Pyar Karegi,Alka Yagnik,"['Alka Yagnik', 'Sonu Nigam']",0.624,0.739,5,-9.6,1,0.707,0,0.66,0.882,100.022,378093,4,156,18,1596
0EBHgVuucZrn7ddAeTGBI0,Hum Aapke Hain Koun,Lata Mangeshkar,"['Lata Mangeshkar', 'S. P. Balasubrahmanyam']",0.675,0.393,0,-15.196,1,0.58,0.00859,0.228,0.627,116.203,240227,4,113,13,905
38ql2maaz4VFexTGL8yIW3,Jab Kisiki Taraf Dil,Jatin-Lalit,"['Jatin-Lalit', 'Kumar Sanu']",0.517,0.584,9,-6.431,1,0.514,0,0.109,0.438,79.146,414560,4,135,16,1566
47U38LbRLzE76b6QOPZYtu,"Chhoti Si Aasha - Version, 1",A.R. Rahman,"['A.R. Rahman', 'Minmini']",0.639,0.245,2,-15.25,1,0.128,4.69E-06,0.1,0.524,172.05,297347,4,213,18,1093
